column1,column2,column3,column4,column5,column6
10.10,0.06,-2.42,1.42,-0.38,-2.32
10.09,0.05,-2.44,1.42,-0.64,-2.31
10.09,0.02,-2.49,1.47,-0.55,-2.31
10.09,0.03,-2.51,1.45,-0.18,-2.27
10.10,0.02,-2.50,1.40,-0.14,-2.27
10.10,0.02,-2.47,1.42,-0.24,-2.26
10.09,0.04,-2.43,1.44,-0.23,-2.32
10.09,0.07,-2.40,1.39,-0.27,-2.35
10.07,0.08,-2.41,1.44,-0.41,-2.34
10.10,0.08,-2.46,1.45,-0.31,-2.34
10.11,0.06,-2.47,1.47,-0.20,-2.32
10.09,0.04,-2.48,1.48,-0.35,-2.31
10.10,0.03,-2.48,1.45,-0.58,-2.32
10.10,0.03,-2.48,1.44,-0.34,-2.32
10.10,0.04,-2.44,1.39,0.02,-2.32
10.11,0.07,-2.41,1.34,0.06,-2.31
10.12,0.09,-2.39,1.42,-0.27,-2.35
10.11,0.09,-2.41,1.51,-0.50,-2.26
10.11,0.09,-2.45,1.47,-0.37,-2.27
10.09,0.09,-2.49,1.45,-0.27,-2.32
10.07,0.05,-2.48,1.40,-0.38,-2.32
10.09,0.02,-2.49,1.44,-0.53,-2.35
10.10,0.01,-2.47,1.42,-0.32,-2.34
10.11,0.03,-2.43,1.37,-0.06,-2.34
10.10,0.08,-2.41,1.40,0.00,-2.32
10.09,0.08,-2.38,1.47,-0.37,-2.29
10.11,0.09,-2.42,1.50,-0.46,-2.32
10.09,0.08,-2.47,1.50,-0.38,-2.32
10.10,0.06,-2.49,1.47,-0.31,-2.32
10.08,0.01,-2.50,1.44,-0.32,-2.35
10.09,-0.01,-2.49,1.39,-0.40,-2.32
10.08,0.01,-2.42,1.45,-0.31,-2.32
10.10,0.06,-2.39,1.48,-0.15,-2.34
10.10,0.08,-2.37,1.45,-0.05,-2.29
10.10,0.11,-2.41,1.44,-0.15,-2.34
10.09,0.09,-2.43,1.40,-0.43,-2.35
10.09,0.07,-2.48,1.40,-0.73,-2.32
10.11,0.03,-2.48,1.39,-0.60,-2.29
10.09,0.00,-2.50,1.45,-0.24,-2.34
10.09,-0.01,-2.47,1.39,0.06,-2.37
10.11,0.02,-2.44,1.37,-0.20,-2.31
10.10,0.05,-2.42,1.44,-0.46,-2.37
10.10,0.08,-2.41,1.40,-0.43,-2.31
10.09,0.11,-2.44,1.44,-0.15,-2.31
10.10,0.09,-2.48,1.45,-0.27,-2.29
10.09,0.06,-2.51,1.47,-0.47,-2.29
10.08,0.02,-2.51,1.42,-0.58,-2.26
10.09,0.00,-2.47,1.37,-0.32,-2.29
10.09,-0.02,-2.43,1.37,-0.03,-2.35
10.09,0.01,-2.39,1.37,-0.14,-2.29
10.11,0.06,-2.37,1.40,-0.41,-2.26
10.10,0.09,-2.38,1.47,-0.38,-2.32
10.12,0.10,-2.44,1.40,-0.20,-2.34
10.09,0.08,-2.48,1.45,-0.23,-2.32
10.07,0.08,-2.47,1.44,-0.64,-2.31
10.08,0.03,-2.51,1.42,-0.66,-2.29
10.10,0.01,-2.47,1.39,-0.21,-2.34
10.11,0.02,-2.43,1.39,0.17,-2.34
10.10,0.03,-2.41,1.33,-0.06,-2.31
10.10,0.05,-2.40,1.37,-0.53,-2.34
10.11,0.09,-2.41,1.47,-0.66,-2.29
10.08,0.11,-2.46,1.51,-0.29,-2.34
10.08,0.08,-2.48,1.47,-0.08,-2.34
10.10,0.07,-2.48,1.39,-0.50,-2.31
10.08,0.01,-2.46,1.45,-0.64,-2.32
10.09,0.00,-2.43,1.39,-0.24,-2.29
10.09,0.00,-2.43,1.36,0.06,-2.38
10.09,0.03,-2.38,1.37,-0.26,-2.29
10.09,0.08,-2.39,1.47,-0.49,-2.31
10.08,0.09,-2.43,1.44,-0.31,-2.35
10.07,0.09,-2.47,1.39,-0.15,-2.35
10.09,0.07,-2.45,1.39,-0.50,-2.34
10.08,0.04,-2.49,1.42,-0.61,-2.32
10.09,-0.00,-2.46,1.44,-0.21,-2.29
10.08,0.02,-2.45,1.42,0.14,-2.34
10.10,0.03,-2.41,1.42,-0.21,-2.29
10.10,0.05,-2.39,1.37,-0.63,-2.31
10.09,0.06,-2.43,1.45,-0.41,-2.34
10.09,0.08,-2.45,1.45,-0.05,-2.32
10.07,0.06,-2.48,1.42,-0.29,-2.27
10.08,0.06,-2.47,1.44,-0.55,-2.32
10.09,0.03,-2.47,1.42,-0.35,-2.34
10.10,-0.01,-2.43,1.37,-0.11,-2.31
10.08,0.01,-2.42,1.40,-0.23,-2.34
10.11,0.03,-2.41,1.40,-0.29,-2.32
10.11,0.07,-2.42,1.47,-0.31,-2.31
10.09,0.10,-2.45,1.45,-0.20,-2.32
10.08,0.09,-2.46,1.47,-0.38,-2.34
10.08,0.06,-2.50,1.47,-0.52,-2.32
10.10,0.05,-2.49,1.44,-0.35,-2.26
10.11,0.02,-2.42,1.40,0.11,-2.32
10.09,0.01,-2.44,1.39,0.05,-2.24
10.10,0.02,-2.41,1.39,-0.56,-2.26
10.10,0.04,-2.42,1.42,-0.84,-2.24
10.09,0.07,-2.48,1.44,-0.32,-2.27
10.09,0.07,-2.43,1.45,0.24,-2.31
10.09,0.09,-2.45,1.44,0.02,-2.27
10.09,0.06,-2.48,1.44,-0.72,-2.34
10.08,0.02,-2.48,1.39,-0.73,-2.31
10.07,0.01,-2.44,1.42,-0.11,-2.32
10.08,0.02,-2.44,1.39,0.18,-2.34
10.08,0.04,-2.43,1.40,-0.23,-2.34
10.08,0.07,-2.43,1.42,-0.52,-2.35
10.07,0.07,-2.41,1.44,-0.34,-2.35
10.11,0.08,-2.45,1.42,-0.18,-2.34
10.11,0.06,-2.47,1.45,-0.15,-2.31
10.09,0.06,-2.48,1.45,-0.24,-2.34
10.10,0.03,-2.47,1.42,-0.37,-2.29
10.08,0.01,-2.40,1.42,-0.60,-2.37
10.09,0.04,-2.42,1.44,-0.35,-2.35
10.09,0.03,-2.41,1.44,0.00,-2.37
10.10,0.02,-2.40,1.45,0.05,-2.32
10.11,0.03,-2.42,1.45,-0.35,-2.31
10.09,0.07,-2.45,1.44,-0.79,-2.32
10.08,0.08,-2.47,1.48,-0.61,-2.37
10.08,0.07,-2.49,1.45,-0.11,-2.29
10.10,0.04,-2.46,1.42,0.03,-2.34
10.10,0.04,-2.40,1.45,-0.24,-2.31
10.10,0.02,-2.39,1.50,-0.43,-2.37
10.10,0.04,-2.38,1.44,-0.35,-2.35
10.10,0.02,-2.41,1.44,-0.23,-2.34
10.08,0.06,-2.43,1.45,-0.20,-2.32
10.08,0.06,-2.46,1.44,-0.32,-2.31
10.08,0.07,-2.48,1.39,-0.31,-2.27
10.09,0.07,-2.45,1.37,-0.38,-2.34
10.11,0.03,-2.47,1.37,-0.40,-2.37
10.11,0.03,-2.44,1.45,-0.26,-2.35
10.11,0.02,-2.41,1.45,-0.18,-2.34
10.12,0.03,-2.39,1.50,-0.11,-2.34
10.09,0.06,-2.41,1.47,-0.24,-2.35
10.10,0.06,-2.41,1.44,-0.47,-2.34
10.09,0.06,-2.47,1.44,-0.53,-2.32
